nohup: bun: No such file or directory
selftest ok
scan n=1000024 done=25
scan n=1000049 done=50
scan n=1000074 done=75
scan n=1000099 done=100
scan n=1000124 done=125
scan n=1000149 done=150
scan n=1000174 done=175
scan n=1000199 done=200
scan n=1000224 done=225
scan n=1000249 done=250
scan n=1000274 done=275
scan n=1000299 done=300
scan n=1000324 done=325
scan n=1000349 done=350
scan n=1000374 done=375
scan n=1000399 done=400
scan n=1000424 done=425
scan n=1000449 done=450
scan n=1000474 done=475
scan n=1000499 done=500
scan n=1000524 done=525
scan n=1000549 done=550
scan n=1000574 done=575
scan n=1000599 done=600
scan n=1000624 done=625
scan n=1000649 done=650
scan n=1000674 done=675
scan n=1000699 done=700
scan n=1000724 done=725
scan n=1000749 done=750
selftest ok
scan n=1000773 done=25
scan n=1000798 done=50
scan n=1000823 done=75
scan n=1000848 done=100
scan n=1000873 done=125
scan n=1000898 done=150
scan n=1000923 done=175
scan n=1000948 done=200
scan n=1000973 done=225
scan n=1000998 done=250
scan n=1001023 done=275
scan n=1001048 done=300
scan n=1001073 done=325
scan n=1001098 done=350
scan n=1001123 done=375
scan n=1001148 done=400
scan n=1001173 done=425
scan n=1001198 done=450
scan n=1001223 done=475
scan n=1001248 done=500
scan n=1001273 done=525
scan n=1001298 done=550
scan n=1001323 done=575
scan n=1001348 done=600
scan n=1001373 done=625
scan n=1001398 done=650
scan n=1001423 done=675
scan n=1001448 done=700
scan n=1001473 done=725
scan n=1001498 done=750
scan n=1001523 done=775
scan n=1001548 done=800
scan n=1001573 done=825
scan n=1001598 done=850
scan n=1001623 done=875
scan n=1001648 done=900
scan n=1001673 done=925
scan n=1001698 done=950
scan n=1001723 done=975
scan n=1001748 done=1000
scan n=1001773 done=1025
scan n=1001798 done=1050
scan n=1001823 done=1075
scan n=1001848 done=1100
scan n=1001873 done=1125
scan n=1001898 done=1150
scan n=1001923 done=1175
scan n=1001948 done=1200
scan n=1001973 done=1225
scan n=1001998 done=1250
scan n=1002023 done=1275
scan n=1002048 done=1300
scan n=1002073 done=1325
scan n=1002098 done=1350
scan n=1002123 done=1375
scan n=1002148 done=1400
scan n=1002173 done=1425
scan n=1002198 done=1450
scan n=1002223 done=1475
scan n=1002248 done=1500
scan n=1002273 done=1525
scan n=1002298 done=1550
scan n=1002323 done=1575
scan n=1002348 done=1600
scan n=1002373 done=1625
scan n=1002398 done=1650
scan n=1002423 done=1675
scan n=1002448 done=1700
scan n=1002473 done=1725
scan n=1002498 done=1750
scan n=1002523 done=1775
scan n=1002548 done=1800
scan n=1002573 done=1825
scan n=1002598 done=1850
scan n=1002623 done=1875
scan n=1002648 done=1900
scan n=1002673 done=1925
scan n=1002698 done=1950
scan n=1002723 done=1975
scan n=1002748 done=2000
scan n=1002773 done=2025
scan n=1002798 done=2050
scan n=1002823 done=2075
scan n=1002848 done=2100
scan n=1002873 done=2125
scan n=1002898 done=2150
scan n=1002923 done=2175
scan n=1002948 done=2200
scan n=1002973 done=2225
scan n=1002998 done=2250
scan n=1003023 done=2275
scan n=1003048 done=2300
scan n=1003073 done=2325
scan n=1003098 done=2350
scan n=1003123 done=2375
scan n=1003148 done=2400
scan n=1003173 done=2425
scan n=1003198 done=2450
scan n=1003223 done=2475
scan n=1003248 done=2500
scan n=1003273 done=2525
scan n=1003298 done=2550
scan n=1003323 done=2575
scan n=1003348 done=2600
scan n=1003373 done=2625
scan n=1003398 done=2650
scan n=1003423 done=2675
scan n=1003448 done=2700
scan n=1003473 done=2725
scan n=1003498 done=2750
scan n=1003523 done=2775
scan n=1003548 done=2800
scan n=1003573 done=2825
scan n=1003598 done=2850
scan n=1003623 done=2875
scan n=1003648 done=2900
scan n=1003673 done=2925
scan n=1003698 done=2950
scan n=1003723 done=2975
scan n=1003748 done=3000
scan n=1003773 done=3025
scan n=1003798 done=3050
scan n=1003823 done=3075
scan n=1003848 done=3100
scan n=1003873 done=3125
scan n=1003898 done=3150
scan n=1003923 done=3175
scan n=1003948 done=3200
scan n=1003973 done=3225
scan n=1003998 done=3250
scan n=1004023 done=3275
scan n=1004048 done=3300
scan n=1004073 done=3325
scan n=1004098 done=3350
scan n=1004123 done=3375
scan n=1004148 done=3400
scan n=1004173 done=3425
scan n=1004198 done=3450
scan n=1004223 done=3475
scan n=1004248 done=3500
scan n=1004273 done=3525
scan n=1004298 done=3550
scan n=1004323 done=3575
scan n=1004348 done=3600
scan n=1004373 done=3625
scan n=1004398 done=3650
scan n=1004423 done=3675
scan n=1004448 done=3700
scan n=1004473 done=3725
scan n=1004498 done=3750
scan n=1004523 done=3775
scan n=1004548 done=3800
scan n=1004573 done=3825
scan n=1004598 done=3850
scan n=1004623 done=3875
scan n=1004648 done=3900
scan n=1004673 done=3925
scan n=1004698 done=3950
scan n=1004723 done=3975
scan n=1004748 done=4000
scan n=1004773 done=4025
scan n=1004798 done=4050
scan n=1004823 done=4075
scan n=1004848 done=4100
scan n=1004873 done=4125
scan n=1004898 done=4150
scan n=1004923 done=4175
scan n=1004948 done=4200
scan n=1004973 done=4225
scan n=1004998 done=4250
scan n=1005023 done=4275
scan n=1005048 done=4300
scan n=1005073 done=4325
scan n=1005098 done=4350
scan n=1005123 done=4375
scan n=1005148 done=4400
scan n=1005173 done=4425
scan n=1005198 done=4450
scan n=1005223 done=4475
scan n=1005248 done=4500
scan n=1005273 done=4525
scan n=1005298 done=4550
scan n=1005323 done=4575
scan n=1005348 done=4600
scan n=1005373 done=4625
scan n=1005398 done=4650
scan n=1005423 done=4675
scan n=1005448 done=4700
scan n=1005473 done=4725
scan n=1005498 done=4750
scan n=1005523 done=4775
scan n=1005548 done=4800
scan n=1005573 done=4825
scan n=1005598 done=4850
scan n=1005623 done=4875
scan n=1005648 done=4900
scan n=1005673 done=4925
scan n=1005698 done=4950
scan n=1005723 done=4975
scan n=1005748 done=5000
scan n=1005773 done=5025
scan n=1005798 done=5050
scan n=1005823 done=5075
scan n=1005848 done=5100
scan n=1005873 done=5125
scan n=1005898 done=5150
scan n=1005923 done=5175
scan n=1005948 done=5200
selftest ok
scan n=1005972 done=25
scan n=1005997 done=50
scan n=1006022 done=75
scan n=1006047 done=100
scan n=1006072 done=125
scan n=1006097 done=150
scan n=1006122 done=175
scan n=1006147 done=200
scan n=1006172 done=225
scan n=1006197 done=250
scan n=1006222 done=275
scan n=1006247 done=300
scan n=1006272 done=325
scan n=1006297 done=350
scan n=1006322 done=375
scan n=1006347 done=400
scan n=1006372 done=425
scan n=1006397 done=450
scan n=1006422 done=475
scan n=1006447 done=500
scan n=1006472 done=525
scan n=1006497 done=550
scan n=1006522 done=575
scan n=1006547 done=600
scan n=1006572 done=625
scan n=1006597 done=650
scan n=1006622 done=675
scan n=1006647 done=700
scan n=1006672 done=725
scan n=1006697 done=750
scan n=1006722 done=775
scan n=1006747 done=800
scan n=1006772 done=825
scan n=1006797 done=850
scan n=1006822 done=875
scan n=1006847 done=900
scan n=1006872 done=925
scan n=1006897 done=950
scan n=1006922 done=975
scan n=1006947 done=1000
scan n=1006972 done=1025
scan n=1006997 done=1050
scan n=1007022 done=1075
scan n=1007047 done=1100
scan n=1007072 done=1125
scan n=1007097 done=1150
scan n=1007122 done=1175
scan n=1007147 done=1200
scan n=1007172 done=1225
scan n=1007197 done=1250
scan n=1007222 done=1275
scan n=1007247 done=1300
scan n=1007272 done=1325
scan n=1007297 done=1350
scan n=1007322 done=1375
scan n=1007347 done=1400
scan n=1007372 done=1425
scan n=1007397 done=1450
scan n=1007422 done=1475
scan n=1007447 done=1500
scan n=1007472 done=1525
scan n=1007497 done=1550
scan n=1007522 done=1575
scan n=1007547 done=1600
scan n=1007572 done=1625
scan n=1007597 done=1650
scan n=1007622 done=1675
scan n=1007647 done=1700
scan n=1007672 done=1725
scan n=1007697 done=1750
scan n=1007722 done=1775
scan n=1007747 done=1800
scan n=1007772 done=1825
