busy 62653
scan g=11580000 c=11580001
scan g=11600000 c=11600001
scan g=11620000 c=11620001
scan g=11640000 c=11640001
scan g=11660000 c=11660001
scan g=11680000 c=11680001
scan g=11700000 c=11700001
scan g=11720000 c=11720001
scan g=11740000 c=11740001
scan g=11760000 c=11760001
scan g=11780000 c=11780001
scan g=11800000 c=11800001
scan g=11820000 c=11820001
scan g=11840000 c=11840001
scan g=11860000 c=11860001
scan g=11880000 c=11880001
scan g=11900000 c=11900001
scan g=11920000 c=11920001
scan g=11940000 c=11940001
scan g=11960000 c=11960001
scan g=11980000 c=11980001
scan g=12000000 c=12000001
scan g=12020000 c=12020001
scan g=12040000 c=12040001
scan g=12060000 c=12060001
scan g=12080000 c=12080001
scan g=12100000 c=12100001
scan g=12120000 c=12120001
scan g=12140000 c=12140001
scan g=12160000 c=12160001
scan g=12180000 c=12180001
scan g=12200000 c=12200001
scan g=12220000 c=12220001
scan g=12240000 c=12240001
scan g=12260000 c=12260001
scan g=12280000 c=12280001
scan g=12300000 c=12300001
scan g=12320000 c=12320001
scan g=12340000 c=12340001
scan g=12360000 c=12360001
scan g=12380000 c=12380001
scan g=12400000 c=12400001
scan g=12420000 c=12420001
scan g=12440000 c=12440001
scan g=12460000 c=12460001
scan g=12480000 c=12480001
scan g=12500000 c=12500001
scan g=12520000 c=12520001
scan g=12540000 c=12540001
scan g=12560000 c=12560001
scan g=12580000 c=12580001
scan g=12600000 c=12600001
scan g=12620000 c=12620001
scan g=12640000 c=12640001
scan g=12660000 c=12660001
scan g=12680000 c=12680001
scan g=12700000 c=12700001
scan g=12720000 c=12720001
scan g=12740000 c=12740001
scan g=12760000 c=12760001
scan g=12780000 c=12780001
scan g=12800000 c=12800001
scan g=12820000 c=12820001
scan g=12840000 c=12840001
scan g=12860000 c=12860001
scan g=12880000 c=12880001
scan g=12900000 c=12900001
scan g=12920000 c=12920001
scan g=12940000 c=12940001
scan g=12960000 c=12960001
scan g=12980000 c=12980001
scan g=13000000 c=13000001
scan g=13020000 c=13020001
scan g=13040000 c=13040001
scan g=13060000 c=13060001
scan g=13080000 c=13080001
scan g=13100000 c=13100001
scan g=13120000 c=13120001
scan g=13140000 c=13140001
scan g=13160000 c=13160001
scan g=13180000 c=13180001
scan g=13200000 c=13200001
scan g=13220000 c=13220001
scan g=13240000 c=13240001
scan g=13260000 c=13260001
scan g=13280000 c=13280001
scan g=13300000 c=13300001
scan g=13320000 c=13320001
scan g=13340000 c=13340001
scan g=13360000 c=13360001
scan g=13380000 c=13380001
scan g=13400000 c=13400001
scan g=13420000 c=13420001
scan g=13440000 c=13440001
scan g=13460000 c=13460001
scan g=13480000 c=13480001
scan g=13500000 c=13500001
scan g=13520000 c=13520001
scan g=13540000 c=13540001
scan g=13560000 c=13560001
scan g=13580000 c=13580001
scan g=13600000 c=13600001
scan g=13620000 c=13620001
scan g=13640000 c=13640001
scan g=13660000 c=13660001
scan g=13680000 c=13680001
scan g=13700000 c=13700001
scan g=13720000 c=13720001
scan g=13740000 c=13740001
scan g=13760000 c=13760001
scan g=13780000 c=13780001
scan g=13800000 c=13800001
scan g=13820000 c=13820001
scan g=13840000 c=13840001
scan g=13860000 c=13860001
scan g=13880000 c=13880001
scan g=13900000 c=13900001
scan g=13920000 c=13920001
scan g=13940000 c=13940001
scan g=13960000 c=13960001
scan g=13980000 c=13980001
scan g=14000000 c=14000001
scan g=14020000 c=14020001
scan g=14040000 c=14040001
scan g=14060000 c=14060001
scan g=14080000 c=14080001
scan g=14100000 c=14100001
scan g=14120000 c=14120001
scan g=14140000 c=14140001
scan g=14160000 c=14160001
scan g=14180000 c=14180001
scan g=14200000 c=14200001
scan g=14220000 c=14220001
scan g=14240000 c=14240001
scan g=14260000 c=14260001
scan g=14280000 c=14280001
scan g=14300000 c=14300001
scan g=14320000 c=14320001
scan g=14340000 c=14340001
scan g=14360000 c=14360001
scan g=14380000 c=14380001
scan g=14400000 c=14400001
scan g=14420000 c=14420001
scan g=14440000 c=14440001
scan g=14460000 c=14460001
scan g=14480000 c=14480001
scan g=14500000 c=14500001
scan g=14520000 c=14520001
scan g=14540000 c=14540001
scan g=14560000 c=14560001
scan g=14580000 c=14580001
scan g=14580000 c=14580001
scan g=14600000 c=14600001
scan g=14620000 c=14620001
scan g=14640000 c=14640001
scan g=14660000 c=14660001
scan g=14680000 c=14680001
scan g=14700000 c=14700001
scan g=14720000 c=14720001
scan g=14740000 c=14740001
scan g=14760000 c=14760001
scan g=14780000 c=14780001
scan g=14800000 c=14800001
scan g=14820000 c=14820001
scan g=14840000 c=14840001
scan g=14860000 c=14860001
scan g=14880000 c=14880001
scan g=14900000 c=14900001
scan g=14920000 c=14920001
scan g=14940000 c=14940001
scan g=14960000 c=14960001
scan g=14980000 c=14980001
scan g=15000000 c=15000001
scan g=15020000 c=15020001
scan g=15040000 c=15040001
scan g=15060000 c=15060001
scan g=15080000 c=15080001
scan g=15100000 c=15100001
scan g=15120000 c=15120001
scan g=15140000 c=15140001
scan g=15160000 c=15160001
scan g=15180000 c=15180001
scan g=15200000 c=15200001
scan g=15220000 c=15220001
scan g=15240000 c=15240001
scan g=15260000 c=15260001
scan g=15280000 c=15280001
scan g=15300000 c=15300001
scan g=15320000 c=15320001
scan g=15340000 c=15340001
scan g=15360000 c=15360001
scan g=15380000 c=15380001
scan g=15400000 c=15400001
scan g=15420000 c=15420001
scan g=15440000 c=15440001
scan g=15460000 c=15460001
scan g=15480000 c=15480001
scan g=15500000 c=15500001
scan g=15520000 c=15520001
scan g=15540000 c=15540001
scan g=15560000 c=15560001
scan g=15580000 c=15580001
scan g=15600000 c=15600001
scan g=15620000 c=15620001
scan g=15640000 c=15640001
scan g=15660000 c=15660001
scan g=15680000 c=15680001
scan g=15700000 c=15700001
scan g=15720000 c=15720001
scan g=15740000 c=15740001
scan g=15760000 c=15760001
scan g=15780000 c=15780001
scan g=15800000 c=15800001
scan g=15820000 c=15820001
scan g=15840000 c=15840001
scan g=15860000 c=15860001
scan g=15880000 c=15880001
scan g=15900000 c=15900001
scan g=15920000 c=15920001
scan g=15940000 c=15940001
scan g=15960000 c=15960001
scan g=15980000 c=15980001
scan g=16000000 c=16000001
scan g=16020000 c=16020001
scan g=16040000 c=16040001
scan g=16060000 c=16060001
scan g=16080000 c=16080001
scan g=16100000 c=16100001
scan g=16120000 c=16120001
scan g=16140000 c=16140001
scan g=16160000 c=16160001
scan g=16180000 c=16180001
scan g=16200000 c=16200001
scan g=16220000 c=16220001
scan g=16240000 c=16240001
scan g=16260000 c=16260001
scan g=16280000 c=16280001
scan g=16300000 c=16300001
scan g=16320000 c=16320001
scan g=16340000 c=16340001
scan g=16360000 c=16360001
scan g=16380000 c=16380001
scan g=16400000 c=16400001
scan g=16420000 c=16420001
scan g=16440000 c=16440001
scan g=16460000 c=16460001
scan g=16480000 c=16480001
scan g=16500000 c=16500001
scan g=16520000 c=16520001
scan g=16540000 c=16540001
scan g=16560000 c=16560001
scan g=16580000 c=16580001
scan g=16600000 c=16600001
scan g=16620000 c=16620001
scan g=16640000 c=16640001
scan g=16660000 c=16660001
scan g=16680000 c=16680001
scan g=16700000 c=16700001
scan g=16720000 c=16720001
scan g=16740000 c=16740001
scan g=16760000 c=16760001
scan g=16780000 c=16780001
scan g=16800000 c=16800001
scan g=16820000 c=16820001
scan g=16840000 c=16840001
scan g=16860000 c=16860001
scan g=16880000 c=16880001
scan g=16900000 c=16900001
scan g=16920000 c=16920001
scan g=16940000 c=16940001
scan g=16960000 c=16960001
scan g=16980000 c=16980001
scan g=17000000 c=17000001
scan g=17020000 c=17020001
scan g=17040000 c=17040001
scan g=17060000 c=17060001
scan g=17080000 c=17080001
scan g=17100000 c=17100001
scan g=17120000 c=17120001
scan g=17140000 c=17140001
scan g=17160000 c=17160001
scan g=17180000 c=17180001
scan g=17200000 c=17200001
scan g=17220000 c=17220001
scan g=17240000 c=17240001
scan g=17260000 c=17260001
scan g=17280000 c=17280001
scan g=17300000 c=17300001
scan g=17320000 c=17320001
scan g=17340000 c=17340001
scan g=17360000 c=17360001
scan g=17380000 c=17380001
scan g=17400000 c=17400001
scan g=17420000 c=17420001
scan g=17440000 c=17440001
scan g=17460000 c=17460001
scan g=17480000 c=17480001
scan g=17500000 c=17500001
scan g=17520000 c=17520001
scan g=17540000 c=17540001
scan g=17560000 c=17560001
scan g=17580000 c=17580001
scan g=17600000 c=17600001
scan g=17620000 c=17620001
scan g=17640000 c=17640001
scan g=17660000 c=17660001
scan g=17680000 c=17680001
scan g=17700000 c=17700001
scan g=17720000 c=17720001
scan g=17740000 c=17740001
scan g=17760000 c=17760001
scan g=17780000 c=17780001
scan g=17800000 c=17800001
scan g=17820000 c=17820001
scan g=17840000 c=17840001
scan g=17860000 c=17860001
scan g=17880000 c=17880001
scan g=17900000 c=17900001
scan g=17920000 c=17920001
scan g=17940000 c=17940001
scan g=17960000 c=17960001
scan g=17980000 c=17980001
scan g=18000000 c=18000001
scan g=18020000 c=18020001
scan g=18040000 c=18040001
scan g=18060000 c=18060001
scan g=18080000 c=18080001
scan g=18100000 c=18100001
scan g=18120000 c=18120001
scan g=18140000 c=18140001
scan g=18160000 c=18160001
scan g=18180000 c=18180001
scan g=18200000 c=18200001
scan g=18220000 c=18220001
scan g=18240000 c=18240001
scan g=18260000 c=18260001
scan g=18280000 c=18280001
scan g=18300000 c=18300001
scan g=18320000 c=18320001
scan g=18340000 c=18340001
scan g=18360000 c=18360001
scan g=18380000 c=18380001
scan g=18400000 c=18400001
scan g=18420000 c=18420001
scan g=18440000 c=18440001
scan g=18460000 c=18460001
scan g=18480000 c=18480001
scan g=18500000 c=18500001
scan g=18520000 c=18520001
scan g=18540000 c=18540001
scan g=18560000 c=18560001
scan g=18580000 c=18580001
scan g=18600000 c=18600001
scan g=18620000 c=18620001
scan g=18640000 c=18640001
scan g=18660000 c=18660001
scan g=18680000 c=18680001
scan g=18700000 c=18700001
scan g=18720000 c=18720001
scan g=18740000 c=18740001
scan g=18760000 c=18760001
scan g=18780000 c=18780001
scan g=18800000 c=18800001
scan g=18820000 c=18820001
scan g=18840000 c=18840001
scan g=18860000 c=18860001
scan g=18880000 c=18880001
scan g=18900000 c=18900001
scan g=18920000 c=18920001
scan g=18940000 c=18940001
scan g=18960000 c=18960001
scan g=18980000 c=18980001
scan g=19000000 c=19000001
scan g=19020000 c=19020001
scan g=19040000 c=19040001
scan g=19060000 c=19060001
scan g=19080000 c=19080001
scan g=19100000 c=19100001
scan g=19120000 c=19120001
scan g=19140000 c=19140001
scan g=19160000 c=19160001
scan g=19180000 c=19180001
scan g=19200000 c=19200001
scan g=19220000 c=19220001
scan g=19240000 c=19240001
scan g=19260000 c=19260001
scan g=19280000 c=19280001
scan g=19300000 c=19300001
scan g=19320000 c=19320001
scan g=19340000 c=19340001
scan g=19360000 c=19360001
scan g=19380000 c=19380001
scan g=19400000 c=19400001
scan g=19420000 c=19420001
scan g=19440000 c=19440001
scan g=19460000 c=19460001
scan g=19480000 c=19480001
scan g=19500000 c=19500001
scan g=19520000 c=19520001
scan g=19540000 c=19540001
scan g=19560000 c=19560001
scan g=19580000 c=19580001
scan g=19600000 c=19600001
scan g=19620000 c=19620001
scan g=19640000 c=19640001
scan g=19660000 c=19660001
scan g=19680000 c=19680001
scan g=19700000 c=19700001
scan g=19720000 c=19720001
scan g=19740000 c=19740001
scan g=19760000 c=19760001
scan g=19780000 c=19780001
scan g=19800000 c=19800001
scan g=19820000 c=19820001
scan g=19840000 c=19840001
scan g=19860000 c=19860001
scan g=19880000 c=19880001
scan g=19900000 c=19900001
scan g=19920000 c=19920001
scan g=19940000 c=19940001
scan g=19960000 c=19960001
scan g=19980000 c=19980001
scan g=20000000 c=20000001
scan g=20020000 c=20020001
scan g=20040000 c=20040001
scan g=20060000 c=20060001
scan g=20080000 c=20080001
scan g=20100000 c=20100001
scan g=20120000 c=20120001
scan g=20140000 c=20140001
scan g=20160000 c=20160001
scan g=20180000 c=20180001
scan g=20200000 c=20200001
scan g=20220000 c=20220001
scan g=20240000 c=20240001
scan g=20260000 c=20260001
scan g=20280000 c=20280001
scan g=20300000 c=20300001
scan g=20320000 c=20320001
scan g=20340000 c=20340001
scan g=20360000 c=20360001
scan g=20380000 c=20380001
scan g=20400000 c=20400001
scan g=20420000 c=20420001
scan g=20440000 c=20440001
scan g=20460000 c=20460001
scan g=20480000 c=20480001
scan g=20500000 c=20500001
scan g=20520000 c=20520001
scan g=20540000 c=20540001
scan g=20560000 c=20560001
scan g=20580000 c=20580001
scan g=20600000 c=20600001
scan g=20620000 c=20620001
scan g=20640000 c=20640001
scan g=20660000 c=20660001
scan g=20680000 c=20680001
scan g=20700000 c=20700001
scan g=20720000 c=20720001
scan g=20740000 c=20740001
scan g=20760000 c=20760001
scan g=20780000 c=20780001
scan g=20800000 c=20800001
scan g=20820000 c=20820001
scan g=20840000 c=20840001
scan g=20860000 c=20860001
scan g=20880000 c=20880001
scan g=20900000 c=20900001
scan g=20920000 c=20920001
scan g=20940000 c=20940001
scan g=20960000 c=20960001
scan g=20980000 c=20980001
scan g=21000000 c=21000001
scan g=21020000 c=21020001
scan g=21040000 c=21040001
scan g=21060000 c=21060001
scan g=21080000 c=21080001
scan g=21100000 c=21100001
scan g=21120000 c=21120001
scan g=21140000 c=21140001
scan g=21160000 c=21160001
scan g=21180000 c=21180001
scan g=21200000 c=21200001
scan g=21220000 c=21220001
scan g=21240000 c=21240001
scan g=21260000 c=21260001
scan g=21280000 c=21280001
scan g=21300000 c=21300001
scan g=21320000 c=21320001
scan g=21340000 c=21340001
scan g=21360000 c=21360001
scan g=21380000 c=21380001
scan g=21400000 c=21400001
scan g=21420000 c=21420001
scan g=21440000 c=21440001
scan g=21460000 c=21460001
scan g=21480000 c=21480001
scan g=21500000 c=21500001
scan g=21520000 c=21520001
scan g=21540000 c=21540001
scan g=21560000 c=21560001
scan g=21580000 c=21580001
scan g=21600000 c=21600001
scan g=21620000 c=21620001
scan g=21640000 c=21640001
scan g=21660000 c=21660001
scan g=21680000 c=21680001
scan g=21700000 c=21700001
scan g=21720000 c=21720001
scan g=21740000 c=21740001
scan g=21760000 c=21760001
scan g=21780000 c=21780001
scan g=21800000 c=21800001
scan g=21820000 c=21820001
scan g=21840000 c=21840001
scan g=21860000 c=21860001
scan g=21880000 c=21880001
scan g=21900000 c=21900001
scan g=21920000 c=21920001
scan g=21940000 c=21940001
scan g=21960000 c=21960001
scan g=21980000 c=21980001
scan g=22000000 c=22000001
scan g=22020000 c=22020001
scan g=22040000 c=22040001
scan g=22060000 c=22060001
scan g=22080000 c=22080001
scan g=22100000 c=22100001
scan g=22120000 c=22120001
scan g=22140000 c=22140001
scan g=22160000 c=22160001
scan g=22180000 c=22180001
scan g=22200000 c=22200001
scan g=22220000 c=22220001
scan g=22240000 c=22240001
scan g=22260000 c=22260001
scan g=22280000 c=22280001
scan g=22300000 c=22300001
scan g=22320000 c=22320001
scan g=22340000 c=22340001
scan g=22360000 c=22360001
scan g=22380000 c=22380001
scan g=22400000 c=22400001
scan g=22420000 c=22420001
scan g=22440000 c=22440001
scan g=22460000 c=22460001
scan g=22480000 c=22480001
scan g=22500000 c=22500001
scan g=22520000 c=22520001
scan g=22540000 c=22540001
scan g=22560000 c=22560001
scan g=22580000 c=22580001
scan g=22600000 c=22600001
scan g=22620000 c=22620001
scan g=22640000 c=22640001
scan g=22660000 c=22660001
scan g=22680000 c=22680001
scan g=22700000 c=22700001
scan g=22720000 c=22720001
scan g=22740000 c=22740001
scan g=22760000 c=22760001
scan g=22780000 c=22780001
scan g=22800000 c=22800001
